timestamp,sample_index,phase,frequency_hz,pulse_count,vmin,aperture_voltage
2026-06-18T11:44:40.401943,89,phase1_control,769230800.0,769230800.0,-0.0016,-0.0212591
2026-06-18T11:44:41.525822,90,phase1_control,344827600.0,344827600.0,-0.0016,0.1609561
2026-06-18T11:44:42.646906,91,phase1_control,50000000.0,50000000.0,-0.0008,-0.0313441
2026-06-18T11:44:43.766516,92,phase1_control,178571400.0,178571400.0,-0.0008,-0.1174417
2026-06-18T11:44:44.888584,93,phase1_control,86206900.0,86206900.0,-0.0016,-0.0421012
2026-06-18T11:44:46.009487,94,phase1_control,625000000.0,625000000.0,-0.0008,0.0659396
2026-06-18T11:44:47.132161,95,phase1_control,250000000.0,250000000.0,-0.0008,0.1672197
2026-06-18T11:44:48.253973,96,phase1_control,416666700.0,416666700.0,-0.0016,-0.0129653
2026-06-18T11:44:49.373722,97,phase1_control,45454500.0,45454500.0,-0.0016,0.0165996
2026-06-18T11:44:50.499910,98,phase1_control,131578900.0,131578900.0,-0.0008,0.1243184
2026-06-18T11:44:51.619291,99,phase1_control,65789500.0,65789500.0,-0.0016,0.0013011
